2021-05-13-14.14.42 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.14.50 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.14.58 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.15.06 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.15.14 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.15.22 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.15.31 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.15.39 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.15.47 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.15.55 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.16.03 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.16.11 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.16.19 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.16.27 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.16.35 - Current temp: 52.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.16.43 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.16.51 - Current temp: 52.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.16.59 - Current temp: 52.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.17.07 - Current temp: 52.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.17.15 - Current temp: 52.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.17.23 - Current temp: 52.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.17.31 - Current temp: 52.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.17.39 - Current temp: 52.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.17.47 - Current temp: 52.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.17.55 - Current temp: 52.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.18.03 - Current temp: 52.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.18.11 - Current temp: 52.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.18.19 - Current temp: 52.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.18.27 - Current temp: 52.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.18.35 - Current temp: 52.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.18.43 - Current temp: 52.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.18.51 - Current temp: 52.125000, Set point: 51.000000, Relay: Off
2021-05-13-14.18.59 - Current temp: 52.125000, Set point: 51.000000, Relay: Off
2021-05-13-14.19.07 - Current temp: 52.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.19.15 - Current temp: 52.125000, Set point: 51.000000, Relay: Off
2021-05-13-14.19.23 - Current temp: 52.125000, Set point: 51.000000, Relay: Off
2021-05-13-14.19.31 - Current temp: 52.125000, Set point: 51.000000, Relay: Off
2021-05-13-14.19.39 - Current temp: 52.125000, Set point: 51.000000, Relay: Off
2021-05-13-14.19.47 - Current temp: 52.125000, Set point: 51.000000, Relay: Off
2021-05-13-14.19.55 - Current temp: 52.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.20.03 - Current temp: 52.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.20.11 - Current temp: 52.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.20.19 - Current temp: 52.125000, Set point: 51.000000, Relay: Off
2021-05-13-14.20.27 - Current temp: 52.125000, Set point: 51.000000, Relay: Off
2021-05-13-14.20.35 - Current temp: 52.125000, Set point: 51.000000, Relay: Off
2021-05-13-14.20.43 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.20.51 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.20.59 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.21.07 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.21.15 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.21.23 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.21.31 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.21.39 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.21.47 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.21.55 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.22.03 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
